ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-06-27,403.24960713799123,2.988305257752083,513.2204425066142,403.24960713799123,403.24960713799123,-154.10094105044448,-154.10094105044448,-154.10094105044448,-49.440066374916825,-49.440066374916825,-49.440066374916825,-104.66087467552765,-104.66087467552765,-104.66087467552765,0.0,0.0,0.0,249.14866608754676
2022-06-28,403.6745788886781,6.987103805145591,488.54273273685675,403.6745788886781,403.6745788886781,-161.11024563592036,-161.11024563592036,-161.11024563592036,-59.74853553892823,-59.74853553892823,-59.74853553892823,-101.36171009699208,-101.36171009699208,-101.36171009699208,0.0,0.0,0.0,242.56433325275776
2022-06-29,404.09955063936496,32.31593206475341,521.14389687853,404.09955063936496,404.09955063936496,-141.01670683495632,-141.01670683495632,-141.01670683495632,-43.18502773653068,-43.18502773653068,-43.18502773653068,-97.8316790984256,-97.8316790984256,-97.8316790984256,0.0,0.0,0.0,263.08284380440864
2022-06-30,404.52452239005174,4.76839094437683,502.1337998671171,404.52452239005174,404.52452239005174,-154.7561779797637,-154.7561779797637,-154.7561779797637,-60.699253042345504,-60.699253042345504,-60.699253042345504,-94.05692493741823,-94.05692493741823,-94.05692493741823,0.0,0.0,0.0,249.76834441028805
2022-07-01,404.9494941407386,44.72616098112326,555.3138401900055,404.9494941407386,404.9494941407386,-96.29590217188448,-96.29590217188448,-96.29590217188448,-6.269982582208779,-6.269982582208779,-6.269982582208779,-90.0259195896757,-90.0259195896757,-90.0259195896757,0.0,0.0,0.0,308.65359196885413
2022-07-02,405.37446589142536,193.16561681559412,678.8597459963162,405.37446589142536,405.37446589142536,33.71424251095778,33.71424251095778,33.71424251095778,119.44434641491952,119.44434641491952,119.44434641491952,-85.73010390396175,-85.73010390396175,-85.73010390396175,0.0,0.0,0.0,439.08870840238313
2022-07-03,405.799437615196,177.75162529002827,684.7323347421617,405.799437615196,405.799437615196,18.734043466142115,18.734043466142115,18.734043466142115,99.89851886022242,99.89851886022242,99.89851886022242,-81.1644753940803,-81.1644753940803,-81.1644753940803,0.0,0.0,0.0,424.5334810813381
2022-07-04,406.2244093389665,27.725998644789275,511.20343479048177,406.2244093389665,406.2244093389665,-125.76816843690278,-125.76816843690278,-125.76816843690278,-49.44006637498309,-49.44006637498309,-49.44006637498309,-76.32810206191968,-76.32810206191968,-76.32810206191968,0.0,0.0,0.0,280.4562409020637
2022-07-05,406.64938106273706,7.122122455549608,501.53627414381293,406.64938106273706,406.64938106273706,-130.97307777189977,-130.97307777189977,-130.97307777189977,-59.748535538904164,-59.748535538904164,-59.748535538904164,-71.22454223299562,-71.22454223299562,-71.22454223299562,0.0,0.0,0.0,275.67630329083727
2022-07-06,407.0743527865076,56.706520256024156,536.3606950639247,407.0743527865076,407.0743527865076,-109.04718041468658,-109.04718041468658,-109.04718041468658,-43.18502773655872,-43.18502773655872,-43.18502773655872,-65.86215267812784,-65.86215267812784,-65.86215267812784,0.0,0.0,0.0,298.027172371821
2022-07-07,407.4993245102781,33.2269414231036,520.4361680116385,407.4993245102781,407.4993245102781,-120.95352328356563,-120.95352328356563,-120.95352328356563,-60.699253042320144,-60.699253042320144,-60.699253042320144,-60.254270241245486,-60.254270241245486,-60.254270241245486,0.0,0.0,0.0,286.54580122671246
2022-07-08,407.9242962340487,101.72796960980125,600.037602571384,407.9242962340487,407.9242962340487,-60.6892382963082,-60.6892382963082,-60.6892382963082,-6.269982582104024,-6.269982582104024,-6.269982582104024,-54.419255714204176,-54.419255714204176,-54.419255714204176,0.0,0.0,0.0,347.2350579377405
2022-07-09,408.3492679578192,233.53700102259089,732.3637701367509,408.3492679578192,408.3492679578192,71.06395371535433,71.06395371535433,71.06395371535433,119.44434641496801,119.44434641496801,119.44434641496801,-48.3803926996137,-48.3803926996137,-48.3803926996137,0.0,0.0,0.0,479.41322167317355
2022-07-10,408.77423968158985,240.82594547997633,705.9806403438732,408.77423968158985,408.77423968158985,57.73288029162909,57.73288029162909,57.73288029162909,99.89851886010742,99.89851886010742,99.89851886010742,-42.16563856847832,-42.16563856847832,-42.16563856847832,0.0,0.0,0.0,466.50711997321895
2022-07-11,409.19921140536036,83.82445720337334,576.2456038726712,409.19921140536036,409.19921140536036,-85.24729559027075,-85.24729559027075,-85.24729559027075,-49.44006637465187,-49.44006637465187,-49.44006637465187,-35.80722921561887,-35.80722921561887,-35.80722921561887,0.0,0.0,0.0,323.9519158150896
